Source;Target;Id;linkname
52;3385;443.0;52->3385
52;5506;444.0;52->5506
52;7410;445.0;52->7410
53;33;446.0;53->33
53;43;447.0;53->43
53;45;448.0;53->45
53;52;449.0;53->52
54;44;450.0;54->44
54;51;451.0;54->51
54;52;452.0;54->52
54;53;453.0;54->53
54;492;454.0;54->492
54;3385;455.0;54->3385
54;5417;456.0;54->5417
54;5486;457.0;54->5486
54;6128;458.0;54->6128
54;6256;459.0;54->6256
54;7410;460.0;54->7410
55;65;461.0;55->65
55;2518;462.0;55->2518
55;3391;463.0;55->3391
55;7254;464.0;55->7254
55;7301;465.0;55->7301
55;7619;466.0;55->7619
56;1454;467.0;56->1454
56;6357;468.0;56->6357
56;7318;469.0;56->7318
56;11023;470.0;56->11023
57;4947;471.0;57->4947
57;6352;472.0;57->6352
57;6361;473.0;57->6361
57;6375;474.0;57->6375
57;11066;475.0;57->11066
58;798;476.0;58->798
58;2472;477.0;58->2472
58;3252;478.0;58->3252
58;3278;479.0;58->3278
58;3355;480.0;58->3355
58;4140;481.0;58->4140
58;4607;482.0;58->4607
58;4617;483.0;58->4617
58;5459;484.0;58->5459
58;5877;485.0;58->5877
58;5908;486.0;58->5908
58;6610;487.0;58->6610
58;7261;488.0;58->7261
58;7273;489.0;58->7273
58;7592;490.0;58->7592
58;9953;491.0;58->9953
59;58;492.0;59->58
59;63;493.0;59->63
59;3586;494.0;59->3586
59;4153;495.0;59->4153
59;7648;496.0;59->7648
60;63;497.0;60->63
60;64;498.0;60->64
60;68;499.0;60->68
60;69;500.0;60->69
61;69;501.0;61->69
61;4948;502.0;61->4948
62;69;503.0;62->69
63;67;504.0;63->67
63;69;505.0;63->69
63;201;506.0;63->201
63;1033;507.0;63->1033
63;1056;508.0;63->1056
63;1109;509.0;63->1109
63;1140;510.0;63->1140
63;1216;511.0;63->1216
63;2487;512.0;63->2487
63;3586;513.0;63->3586
63;4462;514.0;63->4462
63;5417;515.0;63->5417
63;5730;516.0;63->5730
63;6160;517.0;63->6160
63;6256;518.0;63->6256
63;6660;519.0;63->6660
63;9394;520.0;63->9394
64;60;521.0;64->60
64;61;522.0;64->61
64;63;523.0;64->63
64;67;524.0;64->67
64;68;525.0;64->68
64;69;526.0;64->69
64;6256;527.0;64->6256
65;63;528.0;65->63
65;403;529.0;65->403
65;1266;530.0;65->1266
65;3568;531.0;65->3568
65;5928;532.0;65->5928
65;7470;533.0;65->7470
66;65;534.0;66->65
66;876;535.0;66->876
66;4683;536.0;66->4683
66;5857;537.0;66->5857
66;7383;538.0;66->7383
66;8038;539.0;66->8038
66;9169;540.0;66->9169
66;9807;541.0;66->9807
66;9932;542.0;66->9932
66;10251;543.0;66->10251
66;10775;544.0;66->10775
67;61;545.0;67->61
67;63;546.0;67->63
67;69;547.0;67->69
68;60;548.0;68->60
69;67;549.0;69->67
69;68;550.0;69->68
69;9484;551.0;69->9484
70;725;552.0;70->725
70;1704;553.0;70->1704
70;2877;554.0;70->2877
70;3311;555.0;70->3311
71;5085;556.0;71->5085
71;5181;557.0;71->5181
71;9169;558.0;71->9169
72;73;559.0;72->73
73;72;560.0;73->72
73;73;561.0;73->73
73;410;562.0;73->410
73;1166;563.0;73->1166
73;1260;564.0;73->1260
73;1423;565.0;73->1423
73;1443;566.0;73->1443
73;1495;567.0;73->1495
73;1518;568.0;73->1518
73;1962;569.0;73->1962
73;2283;570.0;73->2283
73;2649;571.0;73->2649
73;2738;572.0;73->2738
73;2824;573.0;73->2824
73;2894;574.0;73->2894
73;3007;575.0;73->3007
73;3099;576.0;73->3099
73;3290;577.0;73->3290
73;3343;578.0;73->3343
73;3384;579.0;73->3384
73;3980;580.0;73->3980
73;4086;581.0;73->4086
73;4089;582.0;73->4089
73;4126;583.0;73->4126
73;4481;584.0;73->4481
73;4514;585.0;73->4514
73;4520;586.0;73->4520
73;4559;587.0;73->4559
73;4621;588.0;73->4621
73;4710;589.0;73->4710
73;4996;590.0;73->4996
73;5009;591.0;73->5009
73;5658;592.0;73->5658
73;6080;593.0;73->6080
73;7003;594.0;73->7003
73;7156;595.0;73->7156
73;7234;596.0;73->7234
73;7238;597.0;73->7238
73;7286;598.0;73->7286
73;7330;599.0;73->7330
73;7864;600.0;73->7864
73;7919;601.0;73->7919
73;7928;602.0;73->7928
73;11003;603.0;73->11003
73;11109;604.0;73->11109
74;5181;605.0;74->5181
75;81;606.0;75->81
75;2086;607.0;75->2086
75;2467;608.0;75->2467
75;3363;609.0;75->3363
75;7168;610.0;75->7168
76;74;611.0;76->74
76;81;612.0;76->81
